"1146873","PARCERO AREOSO, XOEL","2007","CIDSANTI","50B","29.59","E25","20231228","FRIGSA","N"
"1089316","PASSARETTI PEREIRA, ALEJANDRO","1998","CIDSANTI","50B","30.38","M25","20201219","Santa Isabel","N"
"1112161","MIGUEZ FEIJOO, SAMUEL","2005","CIDSANTI","50B","30.84","M25","20220122","SANTA ISABEL","N"
"1040779","QUINTAS MOSQUERA, MANUEL","1996","CIDSANTI","50B","31.53","M25","20220507","J. GÓMEZ NOYA","N"
"1144613","MUNIN CANDAL, ALEX","2005","CIDSANTI","50B","32.38","M25","20230506","RIAZOR","N"
"1144614","MUNIN CANDAL, ERIC","2007","CIDSANTI","50B","34.28","M25","20240203","AS POZAS","N"
"1101796","LUGO BLANCO, CARLOS","2004","CIDSANTI","50B","34.94","M25","20210515","Santa Isabel","S"
"1144608","FRAGA VISOS, TEO","2008","CIDSANTI","50B","35.12","M25","20240127","Santa Isabel","S"
"1197575","GUERRA SAAVEDRA, UXIO","2010","CIDSANTI","50B","35.50","M25","20240224","Santa Isabel","N"
"1041291","FRANCISCO FERNANDEZ, ALEJANDRO","1998","CIDSANTI","50B","36.30","M25","20201219","Santa Isabel","N"
